"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","06:00:00 - 06:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,7204,7561,,28.962616,2025-06-09
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1768,reach,1768,1823,0.66817073,1.181326,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",553,reach,553,553,1.12257159,0.620782,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",956,reach,956,964,1.00545388,0.961214,2025-07-07
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4363,reach,4363,4827,0.32589013,1.421859,2025-07-07
2025-05-01,2025-09-20,IG_CA-Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"06:00:00 - 06:59:59",inactive,20,Daily,"7-day click or 1-day view",,,1460,1516,,4.26,2025-07-31
2025-05-01,2025-09-20,FB_CA_Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"06:00:00 - 06:59:59",inactive,20,Daily,"7-day click or 1-day view",,,1503,1645,,6.4,2025-07-31
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"06:00:00 - 06:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,3355,3508,,17.880399,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"06:00:00 - 06:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,3654,4073,,22.91,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_4PM_C25_M/W_LPView_EN_Feed_8-20-25-4th,"06:00:00 - 06:59:59",inactive,40,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,811,894,,4.670642,Ongoing
